country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","18-04-2026 17:00:00",25.251013,86.989001,PM10,55,110,77
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","18-04-2026 17:00:00",25.251013,86.989001,NO2,10,13,12
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","18-04-2026 17:00:00",25.251013,86.989001,NH3,1,1,1
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","18-04-2026 17:00:00",25.251013,86.989001,SO2,33,99,58
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","18-04-2026 17:00:00",25.265194,87.012947,SO2,51,72,59
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","18-04-2026 17:00:00",25.204762,85.514960,PM2.5,28,57,44
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","18-04-2026 17:00:00",25.204762,85.514960,NO2,9,10,9
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","18-04-2026 17:00:00",25.204762,85.514960,OZONE,1,2,1
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","18-04-2026 17:00:00",25.7808257,84.7446768,PM2.5,73,93,85
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","18-04-2026 17:00:00",25.7808257,84.7446768,NH3,8,13,9
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","18-04-2026 17:00:00",24.7955,84.9994,NO2,9,9,9
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB","18-04-2026 17:00:00",16.316553,80.413302,CO,6,26,22
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","18-04-2026 17:00:00",14.465052,78.824187,PM2.5,69,89,79
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","18-04-2026 17:00:00",14.465052,78.824187,NH3,4,5,5
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","18-04-2026 17:00:00",14.465052,78.824187,SO2,10,18,17
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","18-04-2026 17:00:00",14.465052,78.824187,CO,21,40,36
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","18-04-2026 17:00:00",14.465052,78.824187,OZONE,28,46,37
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB","18-04-2026 17:00:00",16.186555,81.13219,PM2.5,54,82,58
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ","18-04-2026 17:00:00","14.438164 ","79.966814 ",NO2,18,23,19
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","18-04-2026 17:00:00",16.9872867,81.7363176,PM10,13,48,27
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","18-04-2026 17:00:00",16.554731,80.649110,PM10,59,69,65
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","18-04-2026 17:00:00",17.72,83.3,PM10,31,254,83
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","18-04-2026 17:00:00",27.103358,93.679645,NH3,1,1,1
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","18-04-2026 17:00:00",27.103358,93.679645,SO2,10,12,11
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","18-04-2026 17:00:00",26.071318,91.87488,OZONE,16,57,37
India,Assam,Guwahati,"IITG, Guwahati - PCBA","18-04-2026 17:00:00",26.2028636,91.70046436,PM10,35,111,85
India,Assam,Guwahati,"IITG, Guwahati - PCBA","18-04-2026 17:00:00",26.2028636,91.70046436,OZONE,1,43,18
